case,trials,win_rate,ci95_low,ci95_high,mean_turns,p50_turns,p95_turns,capped,coins_per_attempt,exp_per_attempt
progress-1-grassland-easy,200,1,0.9811539940816791,1,2.035,2,2,0,8.26,33.43
progress-1-grassland-normal,200,0.675,0.6073185684304498,0.736085329498138,7.58,7,14,0,27.805,38.475
progress-1-grassland-hard,200,0,0,0.018846005918320894,10.805,10,19,0,0,0
progress-1-lake-normal,200,0.405,0.3393765611244294,0.4742041800000517,8.655,9,15,0,3.965,13.265
progress-1-forest-hard,200,0,0,0.018846005918320894,10.635,10,16,0,0,0
progress-3-grassland-easy,200,1,0.9811539940816791,1,2.035,2,2,0,8.275,33.45
progress-3-grassland-normal,200,0.72,0.6540756858222899,0.7776320715736488,7.965,7,14,0,29.625,41.49
progress-3-grassland-hard,200,0.005,0.0008831459893662054,0.02777439986977148,12.37,11,23,0,1.8,0.485
progress-3-lake-normal,200,0.455,0.38748099090226035,0.5242151496303886,9.45,10,17,0,5.05,16.835
progress-3-forest-hard,200,0,0,0.018846005918320894,12.13,12,18,0,0,0
progress-10-grassland-easy,200,1,0.9811539940816791,1,2.03,2,2,0,8.275,33.52
progress-10-grassland-normal,200,0.84,0.7828581380609876,0.8843265779145542,8.82,7,20,0,32.42,48.835
progress-10-grassland-hard,200,0.16,0.11567342208544587,0.2171418619390124,17.58,17,27,0,40.545,13.385
progress-10-lake-normal,200,0.95,0.9104209437021562,0.9726176509713551,10.24,10,19,0,11.685,42.16
progress-10-forest-hard,200,0.19,0.14167093792456506,0.250013585744794,17.925,18,25,0,3.965,16.105
progress-30-grassland-easy,200,1,0.9811539940816791,1,2.03,2,2,0,8.275,33.52
progress-30-grassland-normal,200,1,0.9811539940816791,1,8.825,7,19,0,36.745,57.885
progress-30-grassland-hard,200,0.575,0.5057080512046821,0.6414650479075696,26.555,25,37,0,81.265,63.87
progress-30-lake-normal,200,1,0.9811539940816791,1,10.42,9,19,0,13.115,45.94
progress-30-forest-hard,200,0.695,0.6280132012185453,0.7546368564733095,27,28,42,0,20.785,77.945
progress-60-grassland-easy,200,1,0.9811539940816791,1,2.03,2,2,0,8.275,33.52
progress-60-grassland-normal,200,1,0.9811539940816791,1,8.695,7,19,0,36.86,57.635
progress-60-grassland-hard,200,0.985,0.9568335194437211,0.9948858548155076,28.65,28,42,0,128.01,116.65
progress-60-lake-normal,200,1,0.9811539940816791,1,10.885,9,21,0,12.99,45.855
progress-60-forest-hard,200,0.995,0.9722256001302286,0.999116854010634,26.965,25,48,0,32.64,120.69
progress-100-grassland-easy,200,1,0.9811539940816791,1,2.03,2,2,0,8.275,33.52
progress-100-grassland-normal,200,1,0.9811539940816791,1,8.585,7,18,0,36.865,57.7
progress-100-grassland-hard,200,1,0.9811539940816791,1,28.1,27,40,0,129.885,121.68
progress-100-lake-normal,200,1,0.9811539940816791,1,10.885,9,20,0,12.85,45.93
progress-100-forest-hard,200,1,0.9811539940816791,1,25.055,23,45,0,32.83,124.055
evolved-first-3,200,0.825,0.7663545078991807,0.8713955882539106,9.22,7,19,0,32.14,47.505
evolved-first-10,200,0.98,0.9497121344948062,0.9921956998236058,9.75,8,21,0,35.525,57
evolved-first-30,200,1,0.9811539940816791,1,9.74,8,20,0,36.9,57.715
evolved-damage-3,200,0.835,0.7773410172613647,0.8800321587733603,8.235,7,18,0,32.42,47.75
evolved-damage-10,200,1,0.9811539940816791,1,7.935,6,16,0,36.56,57.905
evolved-damage-30,200,1,0.9811539940816791,1,8.08,6,17,0,36.415,57.1
evolved-tactical-3,200,0.835,0.7773410172613647,0.8800321587733603,8.235,7,18,0,32.42,47.75
evolved-tactical-10,200,1,0.9811539940816791,1,8.33,7,16,0,36.625,58.31
evolved-tactical-30,200,1,0.9811539940816791,1,8.165,7,16,0,37.16,58.135
equal-freigal-slime,200,1,0.9811539940816791,1,3.06,3,4,0,12.39,80
equal-freigal-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-freigal-slime_gold,200,1,0.9811539940816791,1,11.195,11,13,0,200,46.6
equal-freiwolf-slime,200,1,0.9811539940816791,1,2.98,3,3,0,12.34,80
equal-freiwolf-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-freiwolf-slime_gold,200,1,0.9811539940816791,1,10.515,10,12,0,200,47.55
equal-aquaron-slime,200,1,0.9811539940816791,1,3.12,3,4,0,12.42,80
equal-aquaron-grassbeat,200,0.955,0.9167024063390322,0.9761477282752958,6.105,5,9,0,11.795,44.645
equal-aquaron-slime_gold,200,1,0.9811539940816791,1,12.19,12,14,0,200,46.395
equal-highaquaron-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-highaquaron-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.37,4,6,0,12.165,46.655
equal-highaquaron-slime_gold,200,1,0.9811539940816791,1,9.3,9,11,0,200,46.58
equal-shenhairon-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-shenhairon-grassbeat,200,1,0.9811539940816791,1,3.84,3,7,0,12.44,47.45
equal-shenhairon-slime_gold,200,1,0.9811539940816791,1,7.35,7,9,0,200,46.28
equal-tienhairon-slime,200,1,0.9811539940816791,1,2.005,2,2,0,12.23,80
equal-tienhairon-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-tienhairon-slime_gold,200,1,0.9811539940816791,1,7.41,7,9,0,200,46.29
equal-grassbeat-slime,200,1,0.9811539940816791,1,3.06,3,4,0,12.39,80
equal-grassbeat-grassbeat,200,0.97,0.9361048802675267,0.9861798741692518,5.525,5,9,0,11.73,44.82
equal-grassbeat-slime_gold,200,1,0.9811539940816791,1,11.665,12,13,0,200,46.72
equal-thornbeat-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-thornbeat-grassbeat,200,0.995,0.9722256001302286,0.999116854010634,4.41,4,8,0,12.76,47.65
equal-thornbeat-slime_gold,200,1,0.9811539940816791,1,9.03,9,10,0,200,47.06
equal-granbeat-slime,200,1,0.9811539940816791,1,2.06,2,3,0,12.555,80
equal-granbeat-grassbeat,200,1,0.9811539940816791,1,3.84,3,7,0,12.44,47.45
equal-granbeat-slime_gold,200,1,0.9811539940816791,1,6.88,7,8,0,200,46.725
equal-rikasheef-slime,200,1,0.9811539940816791,1,3.34,3,4,0,12.39,80
equal-rikasheef-grassbeat,200,0.98,0.9497121344948062,0.9921956998236058,6.11,5,9,0,12.145,45.055
equal-rikasheef-slime_gold,200,1,0.9811539940816791,1,12.77,13,14,0,200,47.115
equal-seralphia-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-seralphia-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-seralphia-slime_gold,200,1,0.9811539940816791,1,7.14,7,8,0,200,46.65
equal-nightmare-slime,200,1,0.9811539940816791,1,3.03,3,3,0,12.44,80
